toi_id,tic_id_astronet,planetno_astronet,tmag_astronet,period_toi,epoch_toi,duration_toi,depth_toi,centroid_distance_arcsec,disp_p,disp_e,disp_n,disp_j,disp_p_rank,operator_passed
7389.01,224603921,2,8.86873,26.34510700574671,1709.1923011908166,5.92056256743475,111.12127764305188,16.703858464347537,0.26966387,0.05756998,0.043997604,0.6287685,1301,True
1344.01,1400770435,1,8.88797,13.7431164,3555.4035584,2.439,4756.0,6.630773651263365,0.5680861,0.28506154,0.043347318,0.10350494,629,True
1405.01,387834907,1,8.4239,12.64001,1739.88011,6.893,9458.38,14.951784610798343,0.70513225,0.19017206,0.037102513,0.06759325,380,False
6068.01,400093502,1,9.67596,10.6684085,2951.4010225,2.758,464.0,11.289196395052244,0.7083,0.08217008,0.04208001,0.16744997,375,False
6037.01,352924930,1,10.3755,4.0158199,2902.3261743,6.39,330.0,20.05424980329473,0.74296206,0.06431654,0.040307984,0.1524134,322,False
1747.01,233071822,3,10.4302,2.7546556,3558.1393954,0.622,428.0,15.748326622748964,0.7823538,0.043801025,0.041868035,0.13197713,249,True
1172.01,1717732429,1,10.3018,7.8513734,3477.9173506,6.727,22001.0,2.603357312744577,0.7843199,0.1396759,0.03834694,0.03765726,239,False
1305.01,232679662,1,10.3018,7.8513729,3477.9171789,6.726,21254.0,2.656381628728123,0.7854787,0.13852465,0.03827027,0.037726246,238,True
6247.01,418301643,1,9.62005,24.0916432,3457.6459202,4.805,494.0,12.426686448178886,0.79360783,0.059317946,0.035918534,0.11115559,228,False
1678.01,96291218,1,10.3614,13.7058173,2917.0908213,2.597,5788.0,17.498706190464773,0.804379,0.100210026,0.034523483,0.060887408,203,False
1706.02,230377505,3,10.486,7.4058178,3467.4984894,2.698,382.0,11.937829893127974,0.817289,0.025830943,0.035698786,0.12118137,180,True
1351.01,1718201850,1,10.3267,5.92941,3547.8365179,3.004,14582.0,2.264682826120012,0.82449377,0.105847,0.03523109,0.034428135,172,True
1737.01,233009109,2,8.57502,14.4479828,3653.0425683,6.353,218.0,17.792404417023832,0.83420616,0.042352322,0.031254303,0.092187345,153,True
1686.01,102672709,1,9.86671,6.705325984067135,1818.5978258650675,3.730293669358069,623.6644761909791,8.04061746526377,0.835709,0.05507411,0.03224407,0.07697284,150,False
1653.01,156724719,1,9.353,10.9568574,2935.725734,3.574,4327.0,4.306639849802356,0.8390366,0.08895846,0.02920718,0.042797737,144,True
2144.01,428988981,1,9.90667,37.3413179,3434.6550036,5.227,824.0,5.006928326666029,0.84132725,0.032033477,0.031895377,0.09474385,137,False
1739.01,159418353,2,9.812,8.30329783725283,2631.8205231,1.8911727042745496,560.3698799160642,13.414939897511523,0.8454507,0.041509356,0.03521251,0.07782744,133,True
1751.01,287080092,1,8.80616,37.4686602,3532.1289858,7.16,402.0,17.95883446950381,0.8480876,0.042534687,0.029377455,0.08000028,126,False
6062.01,122629761,1,9.47632,8.2125432,2925.2343578,3.166,986.0,14.649075863092666,0.85712016,0.03578176,0.03166587,0.07543211,110,True
1178.01,359496368,1,10.1358,2.6652139,2852.5563509,3.422,710.0,10.00092775392991,0.8597246,0.057565268,0.027951874,0.05475828,106,False
1140.01,320525204,1,8.88797,13.7431134,3555.4035221,2.291,5747.0,6.4935531490168765,0.8600429,0.07396091,0.0344475,0.03154858,104,True
6911.01,428812049,1,8.96016,16.2521679,3450.5047978,8.194,199.0,9.438309559923226,0.8614574,0.0461963,0.02845716,0.063889146,100,True
1664.01,353782445,1,9.17708,11.8350822,3559.1355157,2.037,333.0,16.357798718143513,0.86294824,0.038461693,0.030569993,0.06802018,98,True
5703.01,10792081,1,10.0223,10.1695422,3630.2822769,5.537,888.0,15.59162078359481,0.86389405,0.053176608,0.027151348,0.055777855,95,True
1744.01,229455001,1,9.01932,22.3417026,3533.952835,2.708,486.0,12.377739380813525,0.86453325,0.035127077,0.02857056,0.07176906,94,True
1742.01,219857012,1,8.2865,21.269127,3533.2197985,5.848,358.0,13.676843457482692,0.8660336,0.042710494,0.025676534,0.065579295,91,True
1183.01,258777137,1,9.9478,5.9294073,3358.0947878,3.315,10286.0,2.6998860143689978,0.86782104,0.06932571,0.032561682,0.030291606,86,True
1363.01,230017325,1,10.3843,9.6926439,3552.2895492,2.709,1398.0,16.471542416154428,0.8735391,0.050163127,0.029313164,0.04698451,78,True
1439.01,232982558,3,9.98671,27.643905948283276,1703.4768851720637,5.55315194080602,579.5650928233895,12.294993645250464,0.8800509,0.03194626,0.030690016,0.057312906,65,True
2047.01,363761216,1,10.4708,7.4072589,3444.4282886,2.454,14866.0,2.2988936595804,0.88280386,0.06429812,0.026504183,0.026393766,63,True
1443.01,237232044,1,9.9377,23.5406962,3482.3388637,4.065,956.0,2.792568863685136,0.8837477,0.031191906,0.029263023,0.055797298,62,True
1253.01,233684822,1,9.89947,4.6756797,3350.0416816,1.95,793.0,10.056918124394638,0.8883567,0.03927382,0.026873669,0.04549591,57,True
1736.01,408618999,1,8.3302,7.0731184,3476.1952391,3.826,446.0,3.077611027560965,0.89274454,0.040108174,0.023980768,0.043166354,54,True
1630.01,317597583,1,8.9943,12.0557352,3461.6762633,2.007,808.0,9.800278500847623,0.8930856,0.033550665,0.026343701,0.047020055,53,True
2162.01,284564230,1,10.2182,12.9774853,2800.3214792,3.259,770.0,14.711185019814309,0.8944945,0.042179774,0.027663244,0.03566242,52,True
1455.01,387259626,1,10.1543,3.6231429,3388.2854209,2.381,18013.0,2.4380917601401664,0.8955181,0.063886456,0.027946962,0.01264856,51,True
1453.01,198390247,1,10.1426,6.5886877,3660.4093704,1.678,852.0,17.41411987844028,0.90110016,0.03177325,0.027408903,0.039717548,46,True
6058.01,144006874,1,9.5951,2.3673676,2935.9681891,1.045,550.0,12.179007862032616,0.90116495,0.021811312,0.028431838,0.048591897,45,True
1681.01,321041369,1,10.4445,1.5379289,2934.6024685,0.724,1112.0,18.264387033077615,0.90986896,0.03245025,0.024079364,0.03360137,38,False
1408.01,364186197,1,8.82374,4.424712,3475.3459215,1.215,2430.0,3.195044803299347,0.9164259,0.040490296,0.023650762,0.019433081,33,True
